pmid,doi,year,era,journal,pubtypes,title,senior_author,country,n_countries,is_multicenter_or_registry,design_meta,group_key,tier,oa_status,oa_pdf_url,publisher
40838823,10.1148/ryct.240274,2025,post,Radiology. Cardiothoracic imaging,"Journal Article; Observational Study; Research Support, Non-U.S. Gov't",Predicting Pulmonary Graft Loss Using Oxygen-enhanced MRI T1 Mapping in a Prospective Study.,Vogel-Claussen J,Germany,1,False,,vogel-claussen j|germany,Other-paywall,closed,,Radiological Society of North America (RSNA)
40823264,10.1002/cti2.70035,2025,post,Clinical & translational immunology,Journal Article,High-dimensional flow cytometry reveals lymphocyte subset populations predictive of chronic lung allograft dysfunction.,Zotos D,Australia,2,True,,zotos d|australia,OA,gold,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cti2.70035,Wiley
40811102,10.57187/s.3568,2025,post,Swiss medical weekly,Journal Article,Coronavirus infection and chronic lung allograft dysfunction: a retrospective cohort study.,Schuurmans MM,Switzerland,1,False,,schuurmans mm|switzerland,OA,gold,https://smw.ch/index.php/smw/article/download/3568/6292,SMW Supporting Association
40809276,10.21037/jtd-24-1841,2025,post,Journal of thoracic disease,Journal Article,The impact of donor-recipient size mismatch on lung transplant outcomes.,Mora-Cuesta VM,Spain,1,False,,mora-cuesta vm|spain,OA,gold,https://doi.org/10.21037/jtd-24-1841,AME Publishing Company
40809223,10.21037/jtd-2025-365,2025,post,Journal of thoracic disease,Journal Article,Prophylactic azithromycin for chronic lung allograft dysfunction following lung transplantation: a systematic review and meta-analysis.,Chen-Yoshikawa TF,Japan,2,True,,chen-yoshikawa tf|japan,OA,gold,https://doi.org/10.21037/jtd-2025-365,AME Publishing Company
40809219,10.21037/jtd-2024-2273,2025,post,Journal of thoracic disease,Journal Article,Anesthesia management for lung transplant in children with obliterated bronchiolitis after hematopoietic stem cell transplantation: a single-center experience.,Yan M,China,1,False,,yan m|china,OA,gold,https://doi.org/10.21037/jtd-2024-2273,AME Publishing Company
40785747,10.20452/wiitm.2025.17963,2025,post,Wideochirurgia i inne techniki maloinwazyjne = Videosurgery and other miniinvasive techniques,Journal Article,Safe and effective antireflux surgery in lung transplant recipients: preliminary results.,Hrapkowicz T,Poland,1,False,,hrapkowicz t|poland,OA,gold,https://www.mp.pl/videosurgery/en/node/17963/pdf,&quot;Medycyna Praktyczna&quot; Spolka Jawna
40782091,10.1111/ctr.70268,2025,post,Clinical transplantation,Journal Article; Multicenter Study; Validation Study,Machine Learning for 1-Year Graft Failure Prediction in Lung Transplant Recipients: The Korean Organ Transplantation Registry.,,South Korea,2,True,,,OA,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ctr.70268,Wiley
40730786,10.1016/j.ejim.2025.07.011,2025,post,European journal of internal medicine,Journal Article; Observational Study,"Cluster analysis for clinical, radiological, and histopathological profiling in chronic pulmonary graft-versus-host disease.",Poletti V,Italy,1,True,,poletti v|italy,OA,green,https://www.sciencedirect.com/science/article/pii/S0953620525002821/pdf,Elsevier BV
40710384,10.3390/jpm15070267,2025,post,Journal of personalized medicine,Journal Article,BALF Lymphocyte and Cytokine Profiling as Biomarkers of Acute Rejection After Lung Transplantation.,Ussetti Gil P,Spain,1,False,,ussetti gil p|spain,OA,gold,https://www.mdpi.com/2075-4426/15/7/267/pdf?version=1750659640,MDPI AG
40698562,10.1111/ctr.70241,2025,post,Clinical transplantation,Journal Article,Long-Term Chronic Lung Allograft Dysfunction-Free Survival Following Lung Transplant in the Presence of Donor-Specific Antibodies.,Goldberg HJ,United States,1,False,,goldberg hj|united states,OA,green,https://pmc.ncbi.nlm.nih.gov/articles/PMC12313243/pdf/nihms-2096614.pdf,Wiley
