pmid,doi,year,era,journal,pubtypes,title,senior_author,country,n_countries,is_multicenter_or_registry,design_meta,group_key
16143251,10.1016/j.healun.2004.09.002,2005,pre,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Comparative Study; Journal Article,A comparison of basiliximab and anti-thymocyte globulin as induction agents after lung transplantation.,Trulock EP,United States,1,False,,trulock ep|united states
16102441,10.1016/j.healun.2004.06.016,2005,pre,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,"Comparative Study; Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.",Transcript signatures of lymphocytic bronchitis in lung allograft biopsy specimens.,Caughey GH,United States,1,False,,caughey gh|united states
16095491,10.1111/j.1600-6143.2005.00999.x,2005,pre,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.",Induction of obliterative airway disease by anti-HLA class I antibodies.,Mohanakumar T,United States,1,False,,mohanakumar t|united states
16082326,10.1097/01.tp.0000165858.86067.a2,2005,pre,Transplantation,"Journal Article; Research Support, N.I.H., Extramural; Research Support, U.S. Gov't, P.H.S.",Hepatitis B core antibody positive donors as a safe and effective therapeutic option to increase available organs for lung transplantation.,Davis RD,United States,1,False,,davis rd|united states
16077423,10.1016/j.jtcvs.2004.09.040,2005,pre,The Journal of thoracic and cardiovascular surgery,Journal Article,Early outcomes in human lung transplantation with Thymoglobulin or Campath-1H for recipient pretreatment followed by posttransplant tacrolimus near-monotherapy.,Starzl TE,United States,1,True,,starzl te|united states
16055614,10.1136/thx.2004.036426,2005,pre,Thorax,"Journal Article; Research Support, Non-U.S. Gov't",Pepsin like activity in bronchoalveolar lavage fluid is suggestive of gastric aspiration in lung allografts.,Corris PA,,0,False,,corris pa|
16041262,10.1097/01.tp.0000165091.31541.23,2005,pre,Transplantation,"Comparative Study; Journal Article; Research Support, Non-U.S. Gov't",Longitudinal comparisons of lymphocytes and subtypes between airway wall and bronchoalveolar lavage after human lung transplantation.,Snell GI,Australia,1,True,,snell gi|australia
16028666,10.1080/019131290924108,2005,pre,Ultrastructural pathology,Journal Article,Ultrastructure as a diagnostic adjunct in the evaluation of lung allograft biopsies.,Ross P,United States,1,False,,ross p|united states
15996256,10.1111/j.1600-6143.2005.00971.x,2005,pre,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,"Journal Article; Research Support, Non-U.S. Gov't",Clinical impact of community-acquired respiratory viruses on bronchiolitis obliterans after lung transplant.,Humar A,Canada,1,False,,humar a|canada
15996255,10.1111/j.1600-6143.2005.00953.x,2005,pre,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.",Minimal acute rejection after lung transplantation: a risk for bronchiolitis obliterans syndrome.,Walter MJ,United States,1,False,,walter mj|united states
